Pclass,Age,Fare,female,male,predicted,Passenger_Id
1,54.0,59.4,1,0,1,514
3,25.0,7.22,0,1,0,694
3,29.7,7.78,0,1,0,108
3,28.0,7.8,0,1,0,757
3,33.0,20.52,0,1,0,549
3,70.5,7.75,0,1,0,117
3,25.0,7.78,0,1,0,443
3,29.7,23.25,0,1,0,302
3,26.0,7.92,1,0,1,3
3,29.7,7.55,0,1,0,649
1,50.0,133.65,0,1,1,661
2,23.0,10.5,0,1,0,399
3,19.0,7.9,0,1,0,647
3,20.0,7.85,0,1,0,92
2,34.0,26.0,0,1,0,100
1,36.0,120.0,0,1,1,391
1,27.0,76.73,0,1,0,682
3,19.0,7.65,0,1,0,716
3,30.0,8.05,0,1,0,158
3,30.0,8.05,0,1,0,489
3,29.7,7.55,1,0,1,236
3,21.0,16.1,0,1,0,625
3,25.0,7.65,0,1,0,76
3,2.0,31.28,1,0,1,120
2,3.0,18.75,0,1,0,408
3,29.7,7.23,1,0,1,368
2,30.0,21.0,1,0,1,727
3,18.0,7.8,0,1,0,689
3,10.0,24.15,1,0,1,420
3,1.0,39.69,0,1,0,165
2,29.7,0.0,0,1,0,675
1,21.0,77.29,0,1,0,103
3,18.0,8.05,0,1,0,205
3,42.0,7.65,0,1,0,700
2,14.0,30.07,1,0,1,10
3,29.0,21.08,1,0,1,568
3,28.0,22.52,0,1,0,509
3,25.0,7.92,1,0,1,730
2,29.0,26.0,1,0,1,134
3,22.0,7.25,0,1,0,321
1,45.0,164.87,1,0,1,857
1,36.0,40.12,0,1,0,584
2,3.0,41.58,1,0,1,44
3,40.0,27.9,0,1,0,361
3,44.0,7.92,0,1,0,415
2,31.0,37.0,0,1,0,818
3,29.7,19.97,0,1,0,452
3,1.0,20.58,0,1,0,789
3,19.0,14.5,0,1,0,576
3,5.0,31.39,1,0,1,234
1,40.0,134.5,1,0,1,320
1,35.0,90.0,1,0,1,487
3,31.0,7.92,0,1,0,745
3,0.42,8.52,0,1,0,804
2,6.0,33.0,1,0,1,721
2,42.0,13.0,0,1,0,150
1,40.0,153.46,1,0,1,610
3,19.0,7.9,0,1,0,878
3,20.0,7.92,0,1,0,665
3,3.0,31.39,0,1,0,262
1,39.0,55.9,1,0,1,578
1,36.0,512.33,0,1,1,680
2,50.0,26.0,1,0,1,260
3,22.0,7.8,0,1,0,396
2,60.0,39.0,0,1,0,685
2,34.0,13.0,0,1,0,801
1,80.0,30.0,0,1,0,631
3,21.0,7.85,0,1,0,624
1,22.0,135.63,0,1,1,374
2,31.0,26.25,1,0,1,802
2,18.0,11.5,0,1,0,758
2,18.0,13.0,0,1,0,229
3,29.7,7.9,0,1,0,657
1,28.0,26.55,0,1,0,431
3,29.7,22.36,1,0,1,129
2,29.7,13.0,0,1,0,18
2,29.7,0.0,0,1,0,414
1,17.0,110.88,0,1,1,551
3,17.0,8.66,0,1,0,501
1,27.0,30.5,0,1,0,608
1,32.0,30.5,0,1,0,633
1,47.0,25.59,0,1,0,663
2,39.0,13.0,0,1,0,796
1,29.7,30.0,0,1,0,741
3,23.0,7.55,1,0,1,650
1,29.7,27.72,0,1,0,65
3,15.0,14.45,1,0,1,831
3,20.0,15.74,0,1,0,623
2,8.0,36.75,0,1,0,550
3,29.7,7.75,1,0,1,301
3,29.7,15.5,1,0,1,187
3,29.0,7.9,0,1,0,456
