Pclass,Age,Fare,Sex_female,Sex_male,Passenger_Id,predicted
3,28.0,7.75,0,1,261,0
1,26.0,30.0,0,1,890,1
2,27.0,13.8583,1,0,867,1
3,33.0,7.775,0,1,720,0
1,28.0,52.0,1,0,670,1
3,28.0,7.8958,0,1,739,0
3,33.0,9.5,0,1,753,0
1,18.0,108.9,0,1,506,1
3,15.0,8.0292,1,0,23,1
3,25.0,7.225,0,1,694,1
3,25.0,0.0,0,1,272,0
1,17.0,108.9,1,0,308,1
2,44.0,26.0,1,0,855,1
2,32.0,26.0,0,1,544,0
3,24.0,9.5,0,1,771,0
2,48.0,13.0,0,1,464,0
1,31.0,50.4958,0,1,868,0
3,11.0,46.9,0,1,60,0
1,45.0,83.475,0,1,63,0
3,70.5,7.75,0,1,117,0
3,25.0,7.775,0,1,268,0
2,44.0,26.0,0,1,237,0
2,3.0,18.75,0,1,408,1
1,23.0,63.3583,0,1,98,0
3,21.0,7.7333,0,1,422,0
3,28.0,7.8792,1,0,360,1
1,64.0,263.0,0,1,439,1
1,50.0,28.7125,1,0,178,1
2,50.0,26.0,1,0,260,1
1,30.0,93.5,1,0,521,1
3,26.0,8.6625,0,1,70,1
1,54.0,78.2667,1,0,497,1
3,22.0,9.35,0,1,226,0
3,45.5,7.225,0,1,204,0
3,20.0,7.05,0,1,132,0
1,24.0,79.2,0,1,140,0
2,25.0,41.5792,0,1,686,0
2,28.0,24.0,1,0,875,1
2,23.0,15.0458,0,1,136,0
3,28.0,56.4958,0,1,170,1
2,31.0,37.0042,0,1,818,0
3,28.0,15.1,0,1,498,0
1,28.0,0.0,0,1,634,0
2,34.0,23.0,1,0,99,1
3,28.0,56.4958,0,1,827,1
3,28.0,69.55,0,1,325,0
3,24.0,8.05,0,1,90,0
3,31.0,18.0,1,0,19,0
3,50.0,8.05,0,1,483,0
2,23.0,13.0,0,1,659,0
1,52.0,30.5,0,1,450,0
1,54.0,59.4,1,0,514,1
1,35.0,52.0,1,0,384,1
3,9.0,31.275,1,0,542,0
3,28.0,8.05,0,1,564,0
3,28.0,7.2292,0,1,37,0
